paperID,1994,1995,1996,1997,1998,1999,2000,2001,2002
9412228,0.000348942,0.000159401,0.000332171,0.000330266,0.000324219,0.000307582,0.000532794,0.000607762,0.000609727
9406207,0.000593441,0.000271049,0.000235179,0.000213424,0.000160676,0.000159645,0.000131706,0.000108925,0.000105603
9412203,0.000348942,0.000572832,0.000449312,0.000337195,0.00025544,0.000205417,0.000180408,0.000148809,0.000149534
9411218,0.000471192,0.000215225,0.00013221,9.71E-05,7.30E-05,5.85E-05,4.88E-05,3.82E-05,3.68E-05
9410212,0.000471192,0.000215225,0.00013221,0.000109118,8.21E-05,6.57E-05,5.88E-05,5.00E-05,4.94E-05
9406209,0.000348942,0.000271049,0.000166533,0.000116897,8.80E-05,6.94E-05,5.20E-05,4.01E-05,3.86E-05
9412224,0.000348942,0.000271049,0.000166533,0.000116897,8.80E-05,6.94E-05,5.20E-05,4.01E-05,3.86E-05
9412235,0.000348942,0.000271049,0.000166533,0.000116897,8.80E-05,6.94E-05,5.20E-05,4.01E-05,3.86E-05
9411210,0.000593441,0.000585,0.000526097,0.000394716,0.00032932,0.000372848,0.000499148,0.000601805,0.000602941
9410215,0.000348942,0.000271049,0.000166533,0.000116897,8.80E-05,6.94E-05,5.20E-05,5.33E-05,5.38E-05
119407003,0.000348942,0.000159401,9.79E-05,6.86E-05,5.16E-05,4.07E-05,3.04E-05,2.35E-05,2.26E-05
119407006,0.000348942,0.000159401,9.79E-05,6.86E-05,5.16E-05,4.07E-05,3.04E-05,2.35E-05,2.26E-05
119407007,0.000348942,0.000159401,9.79E-05,6.86E-05,5.16E-05,4.07E-05,3.04E-05,2.35E-05,2.26E-05
119407008,0.000348942,0.000159401,9.79E-05,6.86E-05,5.16E-05,4.07E-05,3.04E-05,2.35E-05,2.26E-05
119407010,0.000348942,0.000159401,9.79E-05,6.86E-05,5.16E-05,4.07E-05,3.04E-05,2.35E-05,2.26E-05
119407013,0.000348942,0.000159401,9.79E-05,6.86E-05,5.16E-05,4.07E-05,3.04E-05,2.35E-05,2.26E-05
119407014,0.000348942,0.000159401,9.79E-05,6.86E-05,5.16E-05,4.07E-05,3.04E-05,2.35E-05,2.26E-05
119407017,0.000348942,0.000159401,9.79E-05,6.86E-05,5.16E-05,4.07E-05,3.04E-05,2.35E-05,2.26E-05
119407021,0.000348942,0.000159401,9.79E-05,6.86E-05,5.16E-05,4.07E-05,3.04E-05,2.35E-05,2.26E-05
119407025,0.000348942,0.000159401,9.79E-05,6.86E-05,5.16E-05,4.07E-05,3.04E-05,2.35E-05,2.26E-05
119407027,0.000348942,0.000159401,9.79E-05,6.86E-05,5.16E-05,4.07E-05,3.04E-05,2.35E-05,2.26E-05
119407029,0.000348942,0.000159401,9.79E-05,6.86E-05,5.16E-05,4.07E-05,3.04E-05,2.35E-05,2.26E-05
119407033,0.000348942,0.000159401,9.79E-05,6.86E-05,5.16E-05,4.07E-05,3.04E-05,2.35E-05,2.26E-05
119407034,0.000348942,0.000159401,9.79E-05,6.86E-05,5.16E-05,4.07E-05,3.04E-05,2.35E-05,2.26E-05
119407036,0.000348942,0.000159401,9.79E-05,6.86E-05,5.16E-05,4.07E-05,3.04E-05,2.35E-05,2.26E-05
119407039,0.000348942,0.000159401,9.79E-05,6.86E-05,5.16E-05,4.07E-05,3.04E-05,2.35E-05,2.26E-05
119407040,0.000348942,0.000159401,9.79E-05,6.86E-05,5.16E-05,4.07E-05,3.04E-05,2.35E-05,2.26E-05
119407044,0.000348942,0.000159401,9.79E-05,6.86E-05,5.16E-05,4.07E-05,3.04E-05,2.35E-05,2.26E-05
119407056,0.000348942,0.000159401,9.79E-05,6.86E-05,5.16E-05,4.07E-05,3.04E-05,2.35E-05,2.26E-05
